region_id,country_name,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,population_population_number_of_people,special_waste_agricultural_waste_tons_year,special_waste_construction_and_demolition_waste_tons_year,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,special_waste_industrial_waste_tons_year,special_waste_medical_waste_tons_year,Temprature Change
ECS,Tajikistan,2616.475586,NA,NA,NA,NA,NA,NA,NA,NA,NA,8177809,NA,NA,NA,NA,NA,NA,1.408588235
SSF,Tanzania,2128.553955,NA,NA,NA,NA,NA,NA,NA,NA,NA,49082996,NA,NA,38000,NA,NA,NA,#N/A
EAS,Thailand,16301.53809,65.52,3.04,1.85,4.74,7.6,17.59,0.46,0.8,NA,68657600,82230000,1100000,384233,3445000,37400000,53868,0.857441176
EAS,Timor-Leste,3344.57373,43.6,5.5,10,9.3,10.9,16.5,4.2,NA,NA,1268671,NA,NA,3600,NA,NA,53.66,0.835088235
SSF,Togo,1404.132935,38,2,4,42,4,10,NA,NA,NA,7228915,NA,NA,6400,1900,NA,NA,0.736882353
EAS,Tonga,5636.418457,51.3,5.9,9,8.9,7.4,13.4,4.1,NA,NA,104951,NA,NA,300,NA,NA,102.23,0.809823529
LCN,Trinidad and Tobago,28910.9082,27.15,10.15,3.74,17.19,22.6,19.17,NA,NA,NA,1328100,NA,NA,71.07,123914.1,NA,250.753,0.549705882
MEA,Tunisia,10505.2627,68,2,4,5,10,11,NA,NA,NA,11143908,4033000,NA,90000,150000,116000,16000,0.603941176
ECS,Turkey,28289.08789,64,2,1,24,6,3,NA,NA,NA,83429616,NA,NA,623000,3432426,NA,NA,0.833823529
ECS,Turkmenistan,11471.18652,16.18,4.64,11.44,62.54,NA,2.19,NA,3.01,NA,5366277,NA,NA,22000,1000,32300,NA,1.934823529
LCN,Turks and Caicos Islands,28174.48242,21.8,20.5,7.6,2.4,31.5,16.3,NA,NA,NA,34900,NA,NA,NA,NA,NA,NA,0.760237557
EAS,Tuvalu,3793.127686,43.6,5.5,10,9.3,10.9,16.5,4.2,NA,NA,11097,NA,NA,10,NA,NA,5.72,0.608676471
SSF,Uganda,1972.301758,74.5,0.8,0.6,10.6,6,7.6,NA,NA,NA,35093648,NA,NA,25000,NA,NA,NA,0.775941176
ECS,Ukraine,11534.6377,37,5,4,22,25,7,NA,NA,NA,45004644,8600000,1400000,277000,448000000,587000,NA,2.603882353
MEA,United Arab Emirates,67119.13281,39,4,3,10,25,19,NA,NA,NA,9770529,493106,2876313,134000,57525,3306644,4573,0.682470588
ECS,United Kingdom,46290.12109,16.7,2.2,3.5,28.2,18.9,20.2,NA,7.6,2.7,66460344,10365788,156803699,3584126,5755258,NA,4218205,0.397
NAC,United States,61498.37109,14.9,4.4,9,3.2,26.6,12.9,9.5,6.2,13.3,326687488,NA,534000000,2440000,28800000,7600000000,2600000,#N/A
LCN,Uruguay,20588.39258,53.5,3,5,7.5,20,11,NA,NA,NA,3431552,NA,NA,37000,NA,NA,NA,0.187294118
ECS,Uzbekistan,5164.274414,40,3,2,17.5,17.5,2.5,1.5,4,NA,29774500,NA,NA,NA,NA,NA,NA,2.050647059
EAS,Vanuatu,3061.787354,73.4,5.4,3.8,5.7,4.05,6.45,1.2,NA,NA,270402,NA,NA,300,NA,NA,139.1,0.431529412
LCN,"Venezuela, RB",14269.67383,NA,NA,NA,NA,NA,NA,NA,NA,NA,29893080,NA,NA,232700,123157,NA,NA,#N/A
EAS,Vietnam,5089.411133,61.9,2.18,0.58,15.18,5.2,12.15,0.6,3.74,NA,86932496,NA,NA,141000,2995153.5,9600000,200000,#N/A
LCN,Virgin Islands (U.S.),30436.56445,46,7,7,12,15,13,NA,NA,NA,105784,NA,NA,NA,NA,NA,NA,#N/A
MEA,West Bank and Gaza,5985.683105,59.1,2.4,2.7,11.5,10.1,14.2,NA,NA,NA,4046901,440000,NA,NA,62621,131344,4572,#N/A
MEA,"Yemen, Rep.",8269.671875,65,1,6,6,7,10,1,3,1,27584212,NA,NA,42000,21000,NA,NA,#N/A
SSF,Zambia,3201.289307,NA,NA,NA,NA,NA,NA,NA,NA,NA,14264756,NA,NA,15000,80000,NA,NA,0.638470588
SSF,Zimbabwe,3190.506592,36,5,6,3,27,23,NA,NA,NA,12500525,NA,NA,13000,37346,NA,NA,0.487117647
