region_id,country_name,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,population_population_number_of_people,special_waste_agricultural_waste_tons_year,special_waste_construction_and_demolition_waste_tons_year,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,special_waste_industrial_waste_tons_year,special_waste_medical_waste_tons_year,Temprature Change
SSF,Eswatini,8321.106445,NA,NA,NA,NA,NA,NA,NA,NA,NA,1343098,NA,NA,5700,NA,NA,NA,0.525264706
SSF,Ethiopia,1779.083984,87.6,0.8,1.2,4.4,3.8,2.3,NA,NA,NA,99873032,NA,NA,49000,NA,NA,NA,1.338529412
ECS,Faeroe Islands,44402.87891,NA,NA,NA,NA,NA,NA,NA,NA,NA,48842,NA,NA,NA,NA,NA,NA,#N/A
EAS,Fiji,10787.68555,33.2,4.1,1.9,3.5,12.5,7.5,0.1,NA,37.2,867086,NA,NA,4600,NA,NA,316.16,0.4995
ECS,Finland,48814.30859,35.88,9.24,1.7,13.13,37.83,1.45,NA,0.73,NA,5520314,1079091,84662998,212954,1998693,NA,1006713,-0.010588235
ECS,France,46110.18359,32,10,3,26,20,9,NA,NA,NA,67059888,11304163,236301207,2218682,10783405,NA,4867183,0.545529412
EAS,French Polynesia,60955.72656,47,3,3,29,16,2,NA,NA,NA,273528,NA,NA,NA,NA,NA,360,0.396470588
SSF,Gabon,18514.65234,NA,NA,NA,NA,NA,NA,NA,NA,NA,1086137,NA,NA,14000,NA,NA,NA,0.893911765
SSF,"Gambia, The",2180.855713,35,1.9,2.1,51.4,9.7,NA,NA,NA,NA,1311349,NA,NA,2200,NA,NA,NA,#N/A
ECS,Georgia,12605.13965,39,3,5,16,34,3,NA,NA,NA,3717100,NA,NA,21000,NA,NA,NA,1.843176471
ECS,Germany,53784.78125,30,10,1.4,17.7,24,13,4,NA,NA,83132800,15011037,275413069,2465085,21812660,NA,8821344,0.724323529
SSF,Ghana,3092.596924,67,0,1,25,3,4,NA,NA,NA,21542008,NA,NA,39000,NA,NA,NA,0.685529412
ECS,Gibraltar,43711.80078,24.57,4.42,4.37,14.38,33.65,15.86,NA,NA,NA,33623,NA,30000,201.44,58995.04,NA,NA,0.317617647
ECS,Greece,30465.44922,40,3,3,9,29,14,2,NA,NA,10716322,575225,59985396,188460,221041,NA,251623,0.642058824
ECS,Greenland,43948.5625,42.8,7.1,2,33.4,11.4,2.4,NA,1,NA,56905,NA,NA,NA,730,NA,NA,1.087970588
LCN,Grenada,13207.71191,27.1,3.1,2.4,36.5,13.6,16.4,0.9,NA,NA,105481,NA,NA,800,NA,NA,NA,0.421088235
EAS,Guam,59074.94141,27.3,4.6,9,8.7,28.5,12.4,3.1,6.4,NA,159973,NA,NA,NA,NA,NA,NA,#N/A
LCN,Guatemala,8125.364746,37.71449118,4.39183558,NA,18.01847364,16.04670215,17.29080875,NA,NA,6.537688691,16252429,NA,NA,55000,10051,NA,818.6,0.775588235
SSF,Guinea,1622.776855,58,1,1,27,9,4,NA,NA,NA,8132552,NA,NA,8000,NA,NA,NA,0.871617647
SSF,Guinea-Bissau,1800.068604,NA,NA,NA,NA,NA,NA,NA,NA,NA,1770526,NA,NA,1000,NA,NA,NA,1.011058824
LCN,Guyana,9812.089844,50.1,4.7,4.2,12.1,10.7,14.2,1.5,2.5,NA,746556,NA,NA,5000,741.78,NA,NA,0.492676471
LCN,Haiti,2952.618652,61.3,1.6,2.5,16.8,4.1,12.7,NA,1,NA,10847334,NA,NA,6000,NA,NA,NA,0.807411765
LCN,Honduras,5395.61377,57.9,1.27,2.11,6.62,17.36,14.41,0.33,NA,NA,9112867,NA,NA,1700,253.14,NA,NA,0.767029412
EAS,"Hong Kong SAR, China",57215.96875,35,3,2,14,22,21,NA,3,NA,7305700,NA,1533000,70000,54812,NA,2268,#N/A
ECS,Hungary,32643.49023,22.5,3.5,1.8,45.9,13.4,13,NA,NA,NA,9769949,699238,7605276,50066,596554,NA,489182,0.821235294
ECS,Iceland,55274.1875,10,NA,NA,NA,38,9,NA,29,14,343400,5000,1000,7600,7000,10000,NA,0.358176471
SAS,India,6496.807617,NA,NA,NA,NA,NA,NA,NA,NA,NA,1352617344,NA,27500000,1700000,7467000,NA,180784.5,0.525558824
EAS,Indonesia,10531.19824,53.8,2.5,1.8,12.9,14.9,14,NA,NA,NA,261115456,122000000,NA,1274000,23000000,NA,82125,0.488617647
MEA,"Iran, Islamic Rep.",14535.8623,72.9,1.9,2.3,5,7.3,8.5,1.1,1.3,NA,80277424,16049000,80000000,630000,8000000,30000000,1609650,#N/A
MEA,Iraq,10310.67969,68.7,2.3,0.98,6,9.6,5.29,5.09,0.85,0.93,36115648,NA,NA,221000,20622,NA,NA,0.957705882
ECS,Ireland,83388.71875,16.6,8.5,3.7,25.8,25,12.4,NA,1.9,6.1,4867316,554285,7898378,212874,482907,NA,776112,0.430676471
ECS,Isle of Man,44203.62109,NA,NA,NA,NA,NA,NA,NA,NA,NA,80759,NA,122965,NA,NA,48783,NA,0.406441176
MEA,Israel,37687.74609,34,3,3,16,24,18,NA,NA,2,8380100,NA,7000000,120000,321000,NA,NA,0.679470588
ECS,Italy,42419.72266,34.4,7.6,4.3,15.4,22.8,11.6,NA,3.8,NA,60297396,6921585,61938678,2800026,8923548,NA,16071024,0.487529412
LCN,Jamaica,9550.810547,62.22,2.81,2.38,5.13,14.73,12.2,NA,0.53,NA,2881355,NA,NA,17000,10000,NA,206.58,0.642735294
EAS,Japan,41309.95703,36,5,4,6,33,11,1,4,NA,126529104,35109000,72690000,518978,3600000,392840000,320000,0.265882353
MEA,Jordan,10413.17578,50,2,1.5,15.5,15,16,NA,NA,NA,8413464,4000000,NA,43000,1230441,45000,4000,0.795588235
ECS,Kazakhstan,22702.58008,30,5,3,7,25,25,NA,2.5,NA,16791424,NA,NA,147000,NA,NA,NA,1.748235294
SSF,Kenya,3329.854492,57,3,1,9,11.3,18.7,NA,NA,NA,41350152,NA,NA,17350,NA,NA,909182,0.750088235
EAS,Kiribati,2249.768555,43.6,5.5,10,9.3,10.9,16.5,4.2,NA,NA,114395,NA,NA,100,NA,766.5,16.22,0.702058824
EAS,"Korea, Rep.",42105.28125,30,2.5,2.6,NA,41,24.3,NA,NA,NA,51606632,NA,68119600,570635,NA,39810000,NA,#N/A
ECS,Kosovo,9723.561523,42,6,6,20,8,11,NA,7,NA,1801800,3880,217241,23,495,NA,834,#N/A
MEA,Kuwait,58810.30078,45,4,2,8,20,20,NA,1,1,2998083,NA,1149000,67000,203000,7000,33000,1.164764706
ECS,Kyrgyz Republic,4805.141113,NA,NA,NA,NA,NA,NA,NA,NA,NA,5956900,17900,3600,7200,4771346,NA,NA,#N/A
EAS,Lao PDR,6543.666992,16.9,9.3,3.7,20.3,2.8,6.1,1.1,38.2,1.2,6663967,NA,NA,7500,5200,49500,1200,#N/A
ECS,Latvia,30982.17383,46.7,21.4,2.6,9.7,6.1,7.7,3.6,2.4,NA,1912789,105480,671423,25071,104142,NA,65624,2.664705882
MEA,Lebanon,16966.74023,52.5,3.5,5.5,11,16,11.5,NA,NA,NA,5603279,NA,NA,51000,46000,NA,5568,0.735176471
SSF,Lesotho,1978.608398,NA,NA,NA,NA,NA,NA,NA,NA,NA,1965662,NA,NA,1800,NA,NA,NA,0.592352941
SSF,Liberia,1333.422241,NA,NA,NA,NA,NA,NA,NA,NA,NA,3512932,NA,NA,NA,NA,NA,NA,0.730823529
MEA,Libya,8479.946289,70.1,3.1,4.3,3.8,5.5,7.5,NA,2.5,NA,6193501,NA,3641150,70000,NA,NA,NA,0.784029412
ECS,Liechtenstein,45726.98828,37.6,5,12.5,9.1,30.3,5.4,NA,NA,NA,36545,2612,513728,293,1204,NA,127,0.536529412
ECS,Lithuania,37278.30469,40.4,8.65,2.75,44.05,10.05,10.15,NA,0.6,NA,2786844,551038,3011590,82691,165477,NA,70124,2.828764706
ECS,Luxembourg,114323.4063,30,4,2,27,19,18,NA,NA,NA,619896,95427,6272673,7398,237180,NA,47825,2.187
EAS,"Macao SAR, China",117335.5859,3.1,3.3,1.7,3.1,58.7,7.9,NA,22.3,NA,612167,NA,52000,11000,3118,NA,11493,#N/A
ECS,"Macedonia, FYR",16147.72949,29.3,4.1,2.5,19.8,12.8,13.9,0.9,0.7,16,2082958,91933,121551,1220,40797,NA,951293,#N/A
SSF,Madagascar,1565.866943,NA,NA,NA,NA,NA,NA,NA,NA,NA,24894552,NA,NA,14000,45957,NA,NA,0.482676471
SSF,Malawi,999.4413452,NA,NA,NA,NA,NA,NA,NA,NA,NA,16577147,NA,NA,9500,NA,NA,NA,0.7375
EAS,Malaysia,23906.26563,46,3,3,9,14,15,3,7,NA,30228016,42000000,NA,280000,2918478,831835,19500,0.674911765
SAS,Maldives,17284.60938,24,NA,1,1,6,3,NA,NA,65,409163,NA,6161.2,3003.95,15105.525,NA,1737.4,0.658882353
SSF,Mali,2007.80603,17.5,1,3.5,72.5,3.5,2,NA,NA,NA,16006670,NA,NA,12000,NA,NA,NA,0.748941176
MEA,Malta,43707.53906,52,6,4,9.5,18,12,NA,NA,NA,502653,16607,1258426,7643,36523,106235,23418,0.276676471
EAS,Marshall Islands,3628.895264,8,2,6,31,11,13,NA,NA,29,52793,NA,NA,NA,NA,NA,43.16,0.419529412
SSF,Mauritania,4783.635742,4.8,4,4.2,59.7,7.3,20,NA,NA,NA,3506288,NA,NA,5100,NA,NA,NA,0.667764706
SSF,Mauritius,20646.93359,64,2.8,NA,8,13,12.4,NA,NA,NA,1263473,NA,NA,11000,17000,NA,NA,0.478470588
LCN,Mexico,19332.07422,52.4,5.9,3.4,12.1,13.8,10.9,NA,NA,NA,125890952,NA,6000000,957900,18172.49,NA,978.06,0.699735294
EAS,"Micronesia, Fed. Sts.",3440.064209,23.83,7.07,16.73,9.32,13.3,26.17,3.58,NA,NA,104937,NA,NA,200,NA,NA,73.47,#N/A
ECS,Moldova,10360.83008,55,4,3,23,5,10,NA,NA,NA,3554108,NA,1400000,6300,418,2841700,15700,#N/A
ECS,Monaco,43711.80078,NA,3,2.2,NA,2.2,1,NA,NA,NA,37783,NA,NA,NA,312.07,NA,NA,0.614323529
EAS,Mongolia,10940.41504,22.7,NA,NA,50.1,12.7,14.5,NA,NA,NA,3027398,NA,126300,14000,NA,81400,967.25,0.923264706
ECS,Montenegro,20752.62109,33.82,8.97,2.9,19.46,13.72,18.42,NA,2.7,NA,622227,NA,92228,6200,3819.21,453791.52,2331.4,2.035411765
MEA,Morocco,6915.103027,60,2,2.5,6,9,8,NA,NA,NA,34318080,NA,7000000,30300,289385,1599710.62,21000,0.473176471
SSF,Mozambique,1217.09021,60,NA,NA,15,25,NA,NA,NA,NA,27212382,NA,NA,17000,NA,NA,NA,0.426088235
EAS,Myanmar,1093.788086,NA,NA,NA,NA,NA,NA,NA,NA,NA,46095464,NA,NA,55000,NA,54750,648.2,0.768911765
EAS,NA,57362.92578,23.34,4.11,3.07,14.11,30.01,20.23,0.6,NA,4.43,23434000,NA,NA,14036,NA,NA,NA,#N/A
SSF,Namibia,6152.987305,NA,NA,NA,NA,NA,NA,NA,NA,NA,1559983,NA,NA,14000,NA,NA,NA,1.002588235
EAS,Nauru,11167.31934,43.6,5.5,10,9.3,10.9,16.5,4.2,NA,NA,13049,NA,NA,NA,NA,NA,NA,0.354647059
SAS,Nepal,2902.249268,52.39,4.36,1.9,7.12,18.21,15.14,0.9,NA,NA,28982772,NA,NA,23000,5051,NA,13408.27,0.306617647
ECS,Netherlands,56849.375,35,5.4,4.3,20.24,21,14,NA,NA,NA,17332850,14718640,96206470,534410,4830495,NA,2391871,0.6785
EAS,New Caledonia,57330.20313,43.6,5.5,10,9.3,10.9,16.5,4.2,NA,NA,278000,NA,NA,NA,NA,NA,324,0.4965
EAS,New Zealand,41857.47656,28,4,4.5,37,7,8,1,11,NA,4692700,132.5342,3000000,95000,NA,1750000,NA,0.623941176
LCN,Nicaragua,4611.840332,NA,NA,NA,NA,NA,NA,NA,NA,NA,5737723,NA,NA,10800,2837,NA,NA,0.800911765
SSF,Niger,1038.224121,38,NA,1,57,2,2,NA,NA,NA,8842415,NA,NA,7900,554000,NA,NA,1.081058824
SSF,Nigeria,4690.379395,NA,3.1,NA,11.3,8,4.8,NA,NA,NA,154402176,NA,NA,277000,NA,NA,NA,0.893882353
EAS,Northern Mariana Islands,60955.72656,43.6,5.5,10,9.3,10.9,16.5,4.2,NA,NA,54036,NA,NA,NA,NA,NA,NA,#N/A
ECS,Norway,64962.26172,15.49,4.6,6.12,13.15,26.57,2.25,NA,17.21,14.68,5347896,399805,3030449,150000,1482000,415000,1054590,0.054205882
MEA,Oman,30535.83398,27,6,NA,24,15,21,NA,2,5,3960925,NA,735341,59000,1469835,NA,4500,0.496477941
SAS,Pakistan,4571.414551,30,6,4,20,13,9,2,2,14,193203472,82120000,NA,301000,1538000,NA,292000000,0.3335
EAS,Palau,18275.02539,26,5,10,9,15,32,1,NA,2,21503,NA,NA,200,NA,NA,10.92,-0.12175
LCN,Panama,28436.35938,46.4,5.8,3.8,5.7,26.3,12,NA,NA,NA,3969249,NA,NA,3200,NA,NA,3094.7,1.460705882
EAS,Papua New Guinea,3912.381104,31,NA,NA,42,16.6,10,NA,NA,NA,7755785,NA,NA,7000,NA,NA,572,0.444794118
LCN,Paraguay,11810.42773,NA,NA,NA,NA,NA,NA,NA,NA,NA,6639119,NA,NA,34200,NA,NA,NA,0.446735294
LCN,Peru,11877.08398,50.43,3.05,2.64,21.7,7.44,10.52,1.25,NA,2.97,30973354,NA,NA,182000,660180.1793,NA,7176,0.580617647
EAS,Philippines,7705.04541,52.31,2.34,4.22,21.52,8.7,10.55,0.37,NA,NA,103320224,NA,NA,290000,4332222.32,NA,NA,0.657088235
ECS,Poland,33221.54297,37.27,10.07,2.17,26.69,11.27,12.13,NA,0.4,NA,37970872,4679634,135184220,224452,1679051,NA,2486818,0.858705882
ECS,Portugal,34961.94531,36.49,6.73,1.85,27.68,13.64,10.72,NA,0.93,1.94,10269417,183064,2743219,170078,701228,NA,817492,0.228147059
LCN,Puerto Rico,34311.03125,13.1,2.4,10.4,23.8,19.4,10.4,NA,NA,20.5,3473181,NA,NA,946.44,4.92,NA,NA,0.496470588
MEA,Qatar,96261.66406,57,4,9,5,11,14,NA,NA,NA,2109568,NA,9706885,29000,105000,64000,450000,1.208088235
ECS,Romania,29983.55664,56.26,4.89,2.5,10.68,11.34,12.33,NA,2,NA,19356544,1063964,162995232,132268,590300,NA,915888,0.847529412
ECS,Russian Federation,26012.84961,28.41,16.82,1.83,19.03,19.7,14.21,NA,NA,NA,143201680,NA,NA,1392000,110000000,NA,NA,2.321823529
SSF,Rwanda,1950.528076,NA,NA,NA,NA,NA,NA,NA,NA,NA,11917508,NA,NA,5900,NA,NA,NA,-0.163970588
SSF,São Tomé and Príncipe,3720.786865,NA,NA,NA,NA,NA,NA,NA,NA,NA,191266,NA,NA,200,NA,NA,NA,#N/A
EAS,Samoa,6210.983398,42.6,2.2,8.8,19.4,7.2,13,6.8,NA,NA,187665,NA,NA,500,NA,NA,36.14,0.696735294
ECS,San Marino,58806.19922,5.35,5.61,0.9,65.56,13.21,5.6,NA,1.28,2.49,33203,NA,NA,NA,NA,NA,NA,0.465647059
