country_name,cities_count,avg_aqi,min_aqi,max_aqi,std_aqi,avg_co_aqi,avg_ozone_aqi,avg_no2_aqi,avg_pm25_aqi
Lithuania,38,38.13,26,59,7.58,0.84,33.74,0.16,33.39
Luxembourg,2,44.5,26,63,26.16,1.0,38.0,1.0,43.0
Madagascar,65,30.95,15,73,14.13,0.42,21.26,0.02,26.31
Malawi,21,47.33,23,70,13.69,0.81,20.67,0.0,47.24
Malaysia,125,81.62,15,209,32.28,2.23,36.5,2.34,80.81
Maldives,1,19.0,19,19,,0.0,19.0,0.0,15.0
Mali,25,83.16,22,182,43.29,1.04,20.64,0.4,83.16
Malta,11,51.36,39,70,10.95,1.0,49.73,0.82,39.82
Mauritania,4,179.0,157,224,30.43,0.75,28.5,0.0,179.0
Mauritius,18,41.0,27,61,12.45,0.28,28.22,0.0,40.61
Mexico,587,89.62,14,384,58.15,1.75,16.81,4.94,89.37
Monaco,1,56.0,56,56,,1.0,56.0,1.0,42.0
Mongolia,10,53.4,32,100,23.22,0.9,33.3,0.0,48.4
Montenegro,4,64.75,52,79,11.53,1.0,33.25,0.25,64.75
Morocco,19,45.37,27,83,12.56,1.16,29.58,3.95,43.74
Mozambique,23,36.83,19,66,13.47,0.57,22.35,0.04,36.22
Myanmar,59,40.17,15,145,20.16,0.44,22.05,0.2,39.0
Namibia,17,76.88,19,232,63.6,0.41,20.47,0.0,75.71
Nepal,33,116.36,34,231,50.71,2.45,67.58,0.79,116.27
Netherlands,298,38.14,26,121,8.19,0.66,31.84,2.51,35.11
New Zealand,22,30.73,13,70,18.94,0.0,20.91,0.86,27.14
Nicaragua,37,47.97,19,143,25.05,1.0,16.38,1.57,47.95
Niger,29,75.69,31,164,32.35,1.52,30.97,0.76,75.69
Nigeria,144,99.61,46,217,38.52,3.81,24.85,2.27,99.61
North Macedonia,46,66.78,33,123,19.62,1.0,41.8,0.2,66.78
Norway,21,35.48,25,52,8.44,0.67,34.62,0.29,18.57
Oman,6,137.5,87,159,29.42,1.33,97.83,1.83,134.83
Pakistan,307,178.79,59,500,61.21,2.07,89.14,2.07,173.11
Palau,1,16.0,16,16,,0.0,16.0,0.0,7.0
Panama,27,68.44,29,134,20.69,1.78,18.04,5.59,68.44
Papua New Guinea,15,24.87,8,104,24.06,0.0,15.73,0.07,20.53
Paraguay,26,42.77,14,160,34.59,1.23,12.35,0.92,42.77
Peru,128,36.43,9,179,23.29,0.71,12.0,1.18,36.09
Philippines,337,61.2,14,165,27.16,0.97,22.32,1.2,61.05
Poland,389,52.46,28,115,20.85,0.94,33.99,1.46,49.25
Portugal,153,34.61,14,47,6.37,0.62,31.84,2.21,25.44
Qatar,2,157.5,151,164,9.19,1.0,139.0,1.5,147.5
Republic of Korea,1,421.0,421,421,,27.0,0.0,91.0,415.0
Republic of Moldova,28,52.96,34,69,10.71,1.0,43.07,0.04,49.79
Romania,211,53.93,35,74,10.81,1.0,40.25,0.53,51.27
Russia,1241,42.51,17,500,19.36,1.04,34.13,1.11,34.51
Rwanda,13,93.54,56,157,33.18,3.62,22.08,1.46,93.54
Saint Kitts and Nevis,1,90.0,90,90,,1.0,25.0,0.0,90.0
Saint Lucia,1,79.0,79,79,,0.0,26.0,0.0,79.0
Saudi Arabia,14,149.29,85,196,36.24,1.29,77.07,0.64,149.29
Senegal,33,152.42,29,211,31.9,1.39,22.0,1.88,152.42
Serbia,89,67.99,35,118,16.98,1.02,40.56,0.85,67.64
Seychelles,1,26.0,26,26,,0.0,25.0,0.0,26.0
Sierra Leone,15,44.2,18,77,16.81,1.13,16.0,0.07,44.07
Singapore,1,91.0,91,91,,1.0,29.0,4.0,91.0
Slovakia,62,67.53,43,89,9.47,1.0,40.02,0.79,67.34
Slovenia,16,70.88,31,85,13.26,1.12,40.56,1.31,69.88
Solomon Islands,1,18.0,18,18,,0.0,18.0,0.0,6.0
Somalia,18,72.06,22,160,43.86,0.17,21.5,0.0,72.06
South Africa,174,113.04,18,500,72.22,5.38,16.67,6.67,113.04
South Sudan,12,60.33,24,84,17.88,1.25,10.42,0.0,60.33
Spain,425,38.46,17,94,10.15,0.81,31.41,1.83,30.22
Sri Lanka,46,63.52,41,106,14.99,0.54,23.54,1.02,63.52
State of Palestine,1,86.0,86,86,,1.0,85.0,2.0,86.0
Sudan,28,78.86,37,182,38.2,1.29,25.64,0.18,78.86
Suriname,3,43.33,21,65,22.01,0.67,19.0,0.0,43.33
Sweden,97,36.16,26,80,8.25,0.7,34.69,0.25,21.04
Switzerland,116,55.22,28,128,21.62,1.01,30.81,1.6,55.03
Syrian Arab Republic,15,86.93,56,167,39.35,1.0,53.0,0.73,83.53
Tajikistan,29,115.21,75,156,25.24,1.0,44.48,0.21,115.21
Tanzania,229,31.63,15,195,18.31,0.46,17.31,0.07,31.11
Thailand,246,53.58,18,164,24.19,0.62,23.0,0.91,53.44
Togo,19,65.16,40,108,19.17,1.32,19.32,0.47,65.16
Trinidad and Tobago,8,94.5,59,161,39.2,0.75,21.75,3.5,94.5
