Country Name,Indicator Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bangladesh,Renewable electricity output (% of total electricity output),11.43300569,10.13301088,8.949853834,6.604388442,8.656991006,3.442531927,6.440648423,6.063417102,6.714795839,5.764705882,4.749223258,5.709521619,4.012858291,3.799715909,3.034477171,2.832079253,2.536317768,2.415739397,2.776316559,1.121661242,1.787202746,1.974950739,1.600016474,1.946536145,1.319724237,1.226889902
Bulgaria,Renewable electricity output (% of total electricity output),4.456467573,5.973765357,5.793316484,5.11092981,3.849684001,5.537342363,6.83350501,6.461603435,7.465708845,7.241116284,6.57629287,3.989984839,5.202874149,7.156019656,7.649785159,9.874465569,9.357830425,6.802990428,6.643638974,8.772799132,12.57796032,7.866381465,11.43648425,16.07885022,15.74360176,17.988593
Bahrain,Renewable electricity output (% of total electricity output),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bahamas, The",Renewable electricity output (% of total electricity output),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,Renewable electricity output (% of total electricity output),20.89939858,37.27239753,52.22988506,71.14517583,81.50329877,82.77664167,70.24523161,53.10895608,50.20381183,54.48099271,48.84456803,48.70276368,48.84561892,39.95206817,46.97517285,47.59561974,44.00781426,33.95281738,32.83410915,39.82001532,46.86989021,28.71073298,29.93182787,41.46467251,36.72648515,35.51730757
Belarus,Renewable electricity output (% of total electricity output),0.050599605,0.046469601,0.045218779,0.056939075,0.060515336,0.080263264,0.067430883,0.080592547,0.119189511,0.07165485,0.103444312,0.11969836,0.109615966,0.10515642,0.108939442,0.119505184,0.119455534,0.157089447,0.20828578,0.345667632,0.37254621,0.428571429,0.555212832,0.844256832,0.722614078,0.815679831
Belize,Renewable electricity output (% of total electricity output),0,0,0,0,0,27.02702703,40.13157895,41.31736527,41.50943396,45.50898204,70.0729927,69.0647482,67.14285714,40.96385542,43.07814788,44.14180275,84.77177737,82.2754469,94.74758595,79.29142145,63.38095209,62.94159847,49.19400582,55.81301319,50.70547537,45.23993047
Bermuda,Renewable electricity output (% of total electricity output),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,Renewable electricity output (% of total electricity output),52.44482908,58.87521968,54.14593698,58.27989438,48.15864023,43.3256045,45.46016059,46.45737327,43.2884097,47.35892811,51.52061856,54.84924623,53.94359465,47.11449677,48.70661066,41.25816993,41.86792453,41.69863969,41.37871755,39.48701193,33.95307658,34.1966759,32.3064874,32.17606944,28.00685323,31.40243902
Brazil,Renewable electricity output (% of total electricity output),94.50051835,94.62575253,94.41943971,95.2547068,95.40533993,94.1574958,93.56113404,92.97783637,92.92334373,90.03692683,89.49270586,84.28744505,85.738173,87.16360313,86.03211228,87.12462751,86.74765165,88.21467965,84.26642365,88.99577577,84.72423388,87.120997,82.4482831,76.68920812,73.08207385,73.96690805
Barbados,Renewable electricity output (% of total electricity output),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam,Renewable electricity output (% of total electricity output),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053691275,0.050890585,0.045433894,0.044385264,0.047619048
Bhutan,Renewable electricity output (% of total electricity output),99.55242967,99.74424552,99.93606138,99.94061758,99.94068802,100,100,100,100,100,100,99.97814898,99.95865347,99.91696651,99.92356039,99.94334278,99.96018404,99.96952149,99.99856345,99.99857104,99.99590628,99.99575522,99.99707033,99.99345562,99.99286108,99.99354643
Botswana,Renewable electricity output (% of total electricity output),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108342362,0.043233895,0.033704078
Central African Republic,Renewable electricity output (% of total electricity output),81.05263158,80.85106383,81.25,80.41237113,79.20792079,79.41176471,78.84615385,78.84615385,78.84615385,78.5046729,78.5046729,76.85185185,76.85185185,76.36363636,83.33333333,83.75,83.83233533,85.0931677,85.0931677,85,84.375,84.48275862,84.65909091,99.28057554,99.41520468,99.41520468
Canada,Renewable electricity output (% of total electricity output),62.37871882,61.41041299,61.67921442,61.72232798,60.40045134,61.00409818,63.10607423,62.35094142,60.40605432,61.18370484,60.60030119,58.03265624,59.88641921,58.91556496,58.44631709,60.02942674,59.54428822,60.29627226,61.4725274,62.85034733,61.39675684,62.33825013,63.23056117,63.29803306,62.82499222,63.01145004
Central Europe and the Baltics,Renewable electricity output (% of total electricity output),6.960160999,8.255932961,7.575046483,8.305123924,9.060523474,9.995116552,9.760683073,9.86816856,10.76702171,10.90560541,9.558929487,9.496150579,9.48201948,7.815800684,10.02024511,11.32157351,10.62797045,9.697571938,10.87320793,12.69785434,15.22325895,13.19197568,14.96574218,17.94481053,20.5025605,20.25285141
Switzerland,Renewable electricity output (% of total electricity output),54.98254292,57.16370157,56.909384,59.57279001,60.5732192,57.42995759,52.20884962,56.01690541,54.85683102,59.37559157,57.00048394,59.3979566,55.22034675,54.72477064,54.41321538,55.85838135,51.72685722,54.906004,55.67903813,55.5442233,56.72954642,54.09299071,59.47461109,59.19383003,58.01546318,62.19798175
Channel Islands,Renewable electricity output (% of total electricity output),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,Renewable electricity output (% of total electricity output),53.8373612,70.97339813,82.69462952,81.6647919,74.26514222,72.40518072,60.45293333,62.13472685,48.17088625,38.03073717,48.54783173,54.26159742,55.45098578,50.15695402,46.90087486,53.88308818,55.25488069,44.15559999,45.74902854,48.8274431,40.202535,39.59642689,36.44535562,35.66687196,42.40700891,43.60433496
China,Renewable electricity output (% of total electricity output),20.40793989,18.47113079,17.58468367,18.12526017,18.0884357,19.2141393,17.55221062,17.51246602,18.06115632,16.68146593,16.63949819,18.95851917,17.6186279,15.03704033,16.22326642,16.17502498,15.59278342,15.26334714,17.73744406,17.8637982,18.62282605,16.76177043,19.96624894,20.29622738,22.60915378,23.92681717
