"Data Source","World Development Indicators",

"Last Updated Date","2024-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","","",
"Africa Eastern and Southern","AFE","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","42.3454894589212","42.3284700641542","42.3631951196062","42.3434992877589","42.3246956016051","42.3492639214703","42.3612049484439","42.3929104338566","42.4419784469953","42.5131442226944","42.6216428643339","42.6530052167876","42.6692697190448","42.6810734928348","42.7127789782475","42.7096221550246","42.7311022782587","42.8102973651987","42.7833957412121","42.7765330820319","42.8630025877029","42.8796788495109","42.9068549798646","42.9125509869842","43.1976944759231","43.4533971569787","43.6133657424701","43.855068598798","44.0511347715774","44.0092718643121","44.0982805538797","44.2782194775856","43.3094178811114","43.5016409647499","43.6871386423917","43.8116272799212","43.9613711894999","44.1002714113079","44.2911905897021","44.4489631242558","44.5470707391242","44.6360510172829","44.9282346337684","44.6309730275386","44.7614512350173","44.9278743969302","45.0874061187227","45.1907359216418","45.4514561582935","45.6291327248899","45.8325520256846","45.7332240184703","45.8489640623641","45.9776023707064","46.0523875077278","46.1524393801811","46.2711500768152","46.3611176234152","46.4193745468007","46.467607648862","46.485779313587","","",
"Afghanistan","AFG","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","57.878355794735","57.9550158686353","58.0316759425356","58.1160020238259","58.123668031216","58.1926620977263","58.2294589331984","58.2309921346764","58.2555233583245","58.2708553731046","58.3168514174448","58.3352498351808","58.3370896769544","58.3387761985803","58.3387761985803","58.3383162381369","58.3383162381369","58.3383162381369","58.3367830366588","58.3367830366588","58.3429158425709","58.3444490440489","58.3444490440489","58.3444490440489","58.3444490440489","58.3444490440489","58.3306502307468","58.3229842233568","58.3229842233568","58.3229842233568","58.3076522085767","58.3076522085767","58.1604648666881","57.9749474878494","57.8982874139491","57.889088205081","57.9473498612453","58.0592735691397","57.8998206154271","57.9458166597673","57.9473498612453","57.9396838538552","58.0838047927878","58.1512656578201","58.134400441562","58.123668031216","58.129800837128","58.132867240084","58.132867240084","58.134400441562","58.131334038606","58.129800837128","58.123668031216","58.123668031216","58.123668031216","58.123668031216","58.123668031216","58.2769881790166","58.2769881790166","58.7415482268525","58.7415482268525","","",
"Africa Western and Central","AFW","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","32.8901817040252","32.9419139608559","32.9797183023861","33.0182964169885","33.0684811276748","33.0856146742747","33.092247014894","33.2129556141658","33.2402587497154","33.1608917403041","33.1854314005956","33.2179298696303","33.2335158700857","33.1962950107117","33.2782424511761","33.3662392850589","33.383374346933","33.44506056968","33.5422329528244","33.6652737519595","33.6574247881332","33.7362460727544","33.8429256515193","33.9273849242409","34.0273210270424","34.1395280451216","34.147819204093","34.3059039684803","34.3494601902766","34.6340127661738","34.8272743754546","35.1084068151116","35.3080833714727","35.7034325619239","36.1139058433877","36.3386865256506","36.5427105235812","36.58277211031","36.8124864190816","36.9213717667244","37.1660948862342","37.2908814718023","37.4809169690176","37.4103055679002","38.1009910145946","38.1307887987548","38.3119024451181","38.4601697697711","38.6009965309791","38.7560434368291","38.8532974270875","39.0216572368552","39.3371755006202","39.4281930469235","39.6250266643672","39.7269556522489","39.7902776985511","40.0033453610413","40.0973890919302","40.1720279737287","40.2593615824761","","",
"Angola","AGO","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","36.2372663832518","36.2436833239753","36.241276971204","36.2476939119275","36.2452875591562","36.2517044998797","36.2573193230128","36.2637362637363","36.2773722627737","36.2597256757841","36.241276971204","36.2236303842143","36.2051816796342","36.1875350926446","36.1698885056549","35.9910162829871","35.9733696959974","35.9549209914173","35.9292532285233","35.906793935991","35.8771155851448","35.8586668805647","35.8370097056228","35.8145504130906","35.7969038261009","35.7303280660945","35.7126814791048","35.6950348921152","35.6765861875351","35.6589396005454","35.6805967754873","35.7030560680196","35.7022539504291","35.7022539504291","35.6862115986204","35.6517205422315","35.6541268950028","35.7046603032004","35.7479746530841","35.7126814791048","35.6260527793374","35.6445014839175","35.6934306569343","35.5418304323414","35.4399614983557","35.4030640891955","35.4896927889629","35.4495869094409","35.7985080612818","35.9749739311783","36.3487607283228","36.3383331996471","36.4867249538782","36.6359188256998","36.7281623486003","36.7562364642657","36.7145263495628","36.7305687013716","36.7987486965589","36.8107804604155","36.8147910483677","","",
"Albania","ALB","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","44.963503649635","44.963503649635","45","44.8905109489051","45.1459854014599","45.2554744525547","45.4014598540146","45.2554744525547","45.0729927007299","44.8905109489051","43.7956204379562","42.8467153284672","41.8248175182482","40.9489051094891","39.4160583941606","39.2335766423358","40.4744525547445","40.6569343065693","40.7664233576642","40.8029197080292","40.7299270072993","40.6569343065693","40.5109489051095","40.6204379562044","40.5839416058394","40.5474452554745","40.5474452554745","40.7664233576642","40.5109489051095","40.9124087591241","41.1313868613139","41.1313868613139","41.0948905109489","41.0948905109489","41.1313868613139","41.2773722627737","41.4233576642336","41.5693430656934","41.7883211678832","41.7518248175182","41.5693430656934","41.6058394160584","40.9124087591241","40.9489051094891","39.3065693430657","40.8759124087591","40.8394160583942","43.1021897810219","43.8430656934307","43.8430656934307","43.8321167883212","43.8430656934307","43.3321167883212","42.857299270073","42.8576642335766","43.1277372262774","42.8569708029197","42.8496715328467","42.8467153284672","42.538503649635","41.471897810219","","",
"Andorra","AND","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","55.3191489361702","55.3191489361702","55.3191489361702","55.3191489361702","55.3191489361702","55.3191489361702","55.3191489361702","55.3191489361702","55.3191489361702","55.3191489361702","53.1914893617021","53.1914893617021","51.063829787234","51.063829787234","51.063829787234","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.4042553191489","48.6170212765957","48.6382978723404","48.531914893617","46.3829787234043","46.3404255319149","44.1914893617021","44.1702127659574","44.1914893617021","42.063829787234","42.063829787234","39.9148936170213","40.0212765957447","40","40.0212765957447","40.0425531914894","40.0425531914894","40.0723404255319","40.0002127659574","39.9517021276596","39.9068085106383","","",
"Arab World","ARB","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","30.9814141049327","30.9826630533365","31.0070542809874","31.018000946409","31.0424656416131","31.0504001373549","31.1032233080808","31.1335654075381","31.1904292936881","31.2544930000483","31.3865876606396","31.4999480951737","31.4968080825713","31.5508068928343","31.5296481753435","31.5997364270317","31.6219971610585","31.6660778224976","31.6784938754696","31.758867614827","31.454314324944","31.4803028135731","31.5287474604947","31.9422696148107","32.4421766413489","33.0265392764938","33.5829988529477","34.186977382433","34.6977840871898","35.1094533843699","35.1599771691561","35.3210826987993","36.0961812170961","36.7506538878976","37.3808259175688","37.9776410356854","38.4884626164582","39.0963534620276","39.6221895993155","39.6569407801428","39.6797514456783","39.7529968083444","39.9415657605609","39.9912526565359","40.0484779760508","40.1197658550304","40.172168974511","40.1115596472089","40.1221309897963","40.1603026213215","40.17641904211","39.789966964691","39.838650168133","39.834421496246","39.8725745176072","39.9378139310252","39.9844520259867","39.9697375327162","39.9070309065028","39.9732904781319","39.9707423553453","","",
"United Arab Emirates","ARE","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","2.92875246409462","2.92875246409462","2.92875246409462","2.92875246409462","2.94283300478738","2.95691354548015","2.95691354548015","2.95691354548015","2.95691354548015","2.98507462686567","2.98507462686567","2.98507462686567","2.99915516755843","3.0132357082512","3.02731624894396","3.04139678963672","3.05547733032948","3.06955787102225","3.08363841171501","3.13996057448606","3.19628273725711","3.19628273725711","3.26668544072092","3.26668544072092","3.30892706279921","3.3511686848775","3.3511686848775","3.36524922557026","3.36524922557026","4.01295409743734","4.36496761475641","4.77330329484652","4.99859194593072","5.23796113770769","5.39284708532808","5.44916924809913","5.56181357364123","5.60405519571952","7.2655589974655","7.70205575894114","7.91326386933258","7.96958603210363","7.80061954379048","7.80061954379048","7.84286116586877","7.58377921712194","7.49929597296536","7.5978597578147","5.46184173472261","5.52379611377077","5.47029005913827","5.30413967896367","5.34215713883413","5.3858068149817","5.39003097718952","5.40411151788229","5.40411151788229","5.37524640946212","5.49704308645452","5.48859476203886","5.51339763446916","","",
"Argentina","ARG","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","50.3633951963869","49.8536553281519","49.2839890524685","48.7073800832392","48.1530608143414","47.8490439180178","47.3941147883027","47.2231052841206","46.5460099609382","46.5463753658617","46.5463753658617","46.5463753658617","46.5463753658617","46.5463753658617","46.5463753658617","46.5463753658617","46.5463753658617","46.5463753658617","46.5463753658617","46.5463753658617","46.5463753658617","46.5467407707851","46.5471061757086","46.5467407707851","46.5467407707851","46.5467407707851","46.5467407707851","46.5452791510913","46.5781655942032","46.6128790619325","46.6475925296617","46.682305997391","46.7170194651203","46.7528291476199","46.7882734251961","46.8237177027723","46.8577003606547","46.8924138283839","46.9223770321081","46.9581867146078","46.9932655872605","47.031267699301","47.1749814557001","47.3186952120993","47.4737365211259","47.5533947944415","47.4910932549905","46.4235627710848","45.4302094866426","46.1389123357048","45.7919603608739","45.5813044224958","44.9219312381015","44.2830207294213","44.1187712163234","43.4794953027197","42.9863813585024","42.3715363084602","42.5907792625398","43.0292651706989","43.1023461553921","","",
